ID,LIMIT_BAL,SEX_male,EDUCATION_gradSch,EDUCATION_university,EDUCATION_highSch,MARRIAGE_married,MARRIAGE_single,AGE,PAY_0_unknown0,PAY_0_unknown2,PAY_0_payDuly,PAY_0_value,PAY_2_unknown0,PAY_2_unknown2,PAY_2_payDuly,PAY_2_value,PAY_3_unknown0,PAY_3_unknown2,PAY_3_payDuly,PAY_3_value,PAY_4_unknown0,PAY_4_unknown2,PAY_4_payDuly,PAY_4_value,PAY_5_unknown0,PAY_5_unknown2,PAY_5_payDuly,PAY_5_value,PAY_6_unknown0,PAY_6_unknown2,PAY_6_payDuly,PAY_6_value,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
20648,0.2555605417971877,1,0,0,1,0,1,0.15995090622027713,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,0.7126461434869218,0.7694296816145235,0.7074270943748091,0.8693545403511532,0.296089410752268,0.353264591481792,-0.10003262671917176,-0.04214681630853749,-0.027414340411011876,-0.16528612406643406,-0.162255836074052,-0.1709850476496647,0
18044,-0.8981549858427531,1,0,1,0,0,1,0.9171405616892278,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,-0.0036749753060686015,0.3878412297442914,0.4444958086045386,0.10886053352864214,-0.16125458739233753,-0.14742362371836726,-0.09701914289494518,-0.05078864051962097,-0.15924262517105436,-0.1501446693499318,-0.1838455963429583,-0.1262205613789269,0
20326,-0.6674118803147651,0,0,1,0,1,0,2.107010020283293,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,0.3898708047103149,-0.2718239703512512,-0.255279902891322,-0.28186281339918273,-0.2704403166791127,-0.25268493592830804,-0.2217150252767345,-0.15901558073795388,-0.2011640197247479,-0.2429171070596484,-0.18205219772637185,-0.18175962623095893,0
2063,-0.6674118803147651,0,0,1,0,1,0,-0.5972387492486735,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,-0.61891861657263,-0.5747686889728231,-0.5232009010271031,-0.5316176002730667,-0.5234545530580671,-0.5065054547601274,-0.14897576055402406,-0.14231032212519015,-0.22710782616552425,-0.2432273827710521,-0.2976574316263301,-0.265068223509007,0
12259,-0.8981549858427531,1,0,0,1,1,0,0.7008006601266704,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,-0.2934151042978485,-0.3519075017735004,-0.4124768075829142,-0.3917518132208699,-0.36159597987687175,-0.3367817885611531,-0.20093237821310292,-0.16653464826019582,-0.2465656809961065,-0.2639538002928216,-0.2751709720491305,-0.2550156527707892,0
5812,0.3324749103065171,0,1,0,0,1,0,-0.16455894612355887,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,2.030934692909317,2.2119816439433517,2.2650000523930394,0.9768671420141524,1.1208578087035703,0.8307993978915862,0.2482845380672931,0.08210492392326127,-0.09063918578192827,-0.07449945090970138,-0.09417566551363506,-0.10400493543811408,0
13466,-0.2059256692587886,0,0,1,0,1,0,-1.0299185523737882,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,0,0,0,2.31072672836622,0,0,0,2.4863676663230154,0,0,0,2.468375215624245,0.3287300055705308,0.5819483893409667,0.10430085348820953,-0.17803129908003384,-0.21555903690176006,-0.25071298628096417,0.7342867396503169,-0.10808325458050516,-0.28052464715029346,-0.11911709820955838,-0.32179933608037864,-0.015142431674862813,0
17772,-0.7443262488240943,0,0,0,1,0,1,2.6478597741896865,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,-0.5519298019639866,-0.5296596724080477,-0.4894329876515464,-0.4670665496357618,-0.4430608945734046,-0.4222726055998792,-0.2433289782229113,-0.16935855144728215,-0.2162979068152008,-0.2742549539114255,-0.28731090114602353,-0.2626800437203696,0
14237,1.7938479119837754,1,1,0,0,0,1,-0.3808988476861162,1,0,0,-0.4619381177031393,1,0,0,-0.3955613606478471,1,0,0,-0.3891812096703792,1,0,0,-0.3361538310452576,1,0,0,-0.3104463565375193,1,0,0,-0.3199616560213297,0.2841878461795416,0.43673845315414095,-0.07974545583684478,-0.2692974139849432,-0.4956018915494407,-0.3835985931196442,0.22729406453302525,0.13882114817474225,-0.12233070543824248,-0.05706195592881151,0.09689026402269213,-0.18137085277699472,0
6629,1.6400191749651167,1,0,1,0,1,0,-0.4890687984673949,0,0,1,-0.4619381177031393,0,0,1,-0.3955613606478471,0,0,1,-0.3891812096703792,0,0,1,-0.3361538310452576,0,0,1,-0.3104463565375193,0,0,1,-0.3199616560213297,-0.5969581704932642,-0.5740278219514616,-0.5239836010060068,-0.486636887413193,-0.4475766515280577,-0.5750987032690278,0.10867710641734812,0.11891773414527833,0.3478216893299731,0.5132868567735329,0.0035645590903272562,0.2266746566908847,0
